gene,Gname,Gnomon,Scaffold,Begin,End,Or,KOG_JGI
GENE:JGI_V11_101232,fgenesh1_pg.C_scaffold_17000183,NCBI_GNO_458174,scaffold_17,758135,761595,+,KOG4674
GENE:JGI_V11_101239,fgenesh1_pg.C_scaffold_17000190,NCBI_GNO_464174,scaffold_17,787164,788845,-,0
GENE:JGI_V11_101266,fgenesh1_pg.C_scaffold_17000217,NCBI_GNO_468173,scaffold_17,838947,840066,+,0
GENE:JGI_V11_101276,fgenesh1_pg.C_scaffold_17000227,NCBI_GNO_492173,scaffold_17,860202,861371,+,0
GENE:JGI_V11_101277,fgenesh1_pg.C_scaffold_17000228,0,scaffold_17,863462,863977,-,0
GENE:JGI_V11_101278,fgenesh1_pg.C_scaffold_17000229,NCBI_GNO_500174,scaffold_17,868491,874594,+,KOG2992
GENE:JGI_V11_101288,fgenesh1_pg.C_scaffold_17000239,NCBI_GNO_510174,scaffold_17,923889,928535,-,KOG4674
GENE:JGI_V11_101295,fgenesh1_pg.C_scaffold_17000246,NCBI_GNO_524174,scaffold_17,951924,954022,+,0
GENE:JGI_V11_101309,fgenesh1_pg.C_scaffold_17000260,NCBI_GNO_546174,scaffold_17,1024154,1024807,+,0
GENE:JGI_V11_101321,fgenesh1_pg.C_scaffold_17000272,0,scaffold_17,1075974,1077519,+,0
GENE:JGI_V11_101322,fgenesh1_pg.C_scaffold_17000273,NCBI_GNO_562174,scaffold_17,1079819,1084961,-,KOG3689
GENE:JGI_V11_101349,fgenesh1_pg.C_scaffold_17000300,NCBI_GNO_612174,scaffold_17,1195576,1198348,+,KOG4674
GENE:JGI_V11_101359,fgenesh1_pg.C_scaffold_17000310,NCBI_GNO_626174,scaffold_17,1223039,1223758,-,0
GENE:JGI_V11_101362,fgenesh1_pg.C_scaffold_17000313,NCBI_GNO_632174,scaffold_17,1228625,1229781,+,0
GENE:JGI_V11_101374,fgenesh1_pg.C_scaffold_17000325,NCBI_GNO_656174,scaffold_17,1289562,1293341,+,KOG3516
GENE:JGI_V11_101397,fgenesh1_pg.C_scaffold_17000348,NCBI_GNO_698174,scaffold_17,1369392,1371793,+,0
GENE:JGI_V11_10143,gw1.83.78.1,NCBI_GNO_74584,scaffold_83,76549,89904,-,KOG3417
GENE:JGI_V11_101431,fgenesh1_pg.C_scaffold_17000382,0,scaffold_17,1490287,1491080,+,0
GENE:JGI_V11_101435,fgenesh1_pg.C_scaffold_17000386,NCBI_GNO_744174,scaffold_17,1509777,1513778,+,0
GENE:JGI_V11_101455,fgenesh1_pg.C_scaffold_18000019,0,scaffold_18,57628,59246,+,0
GENE:JGI_V11_101457,fgenesh1_pg.C_scaffold_18000021,0,scaffold_18,73215,74262,+,0
