kog_sub_cat	kog_id	kog_id_desc
T	KOG0033	Ca2+/calmodulin-dependentproteinkinaseEF-Handproteinsuperfamily
T	KOG0034	Ca2+/calmodulin-dependentproteinphosphatase(calcEF-Handsuperfamilyprotein
Z	KOG0035	Ca2+-bindingactin-bundlingprotein(actinin)alphachain(EF-Handproteinsuperfamily)
F	KOG0036	Predictedmitochondrialcarrierprotein
T	KOG0037	Ca2+-bindingproteinEF-Handproteinsuperfamily
R	KOG0038	Ca2+-bindingkinaseinteractingprotein(KIP)(EF-Handproteinsuperfamily)
PQ	KOG0039	FerricreductaseNADH/NADPHoxidaseandrelatedproteins
Z	KOG0040	Ca2+-bindingactin-bundlingprotein(spectrin)alphachain(EF-Handproteinsuperfamily)
R	KOG0041	PredictedCa2+-bindingproteinEF-Handproteinsuperfamily
C	KOG0042	Glycerol-3-phosphatedehydrogenase
S	KOG0043	UncharacterizedconservedproteincontainsDM10domain
T	KOG0044	Ca2+sensor(EF-Handsuperfamily)
OT	KOG0045	CytosolicCa2+-dependentcysteineprotease(calpainlargesubunit(EF-Handproteinsuperfamily)
Z	KOG0046	Ca2+-bindingactin-bundlingprotein(fimbrin/plastiEF-Handproteinsuperfamily
P	KOG0047	Catalase
K	KOG0048	TranscriptionfactorMybsuperfamily
K	KOG0049	TranscriptionfactorMybsuperfamily
AD	KOG0050	mRNAsplicingproteinCDC5(Mybsuperfamily)
K	KOG0051	RNApolymeraseIterminationfactorMybsuperfamily
J	KOG0052	TranslationelongationfactorEF-1alpha/Tu
E	KOG0053	Cystathioninebeta-lyases/cystathioninegamma-synthases
Q	KOG0054	Multidrugresistance-associatedprotein/mitoxantronABCsuperfamily
Q	KOG0055	Multidrug/pheromoneexporterABCsuperfamily
P	KOG0056	HeavymetalexporterHMT1ABCsuperfamily
U	KOG0057	MitochondrialFe/SclusterexporterABCsuperfamily
U	KOG0058	PeptideexporterABCsuperfamily
IR	KOG0059	LipidexporterABCA1andrelatedproteinsABCsuperfamily
IR	KOG0060	Long-chainacyl-CoAtransporterABCsuperfamily(involvedinperoxisomeorganizationandbiogenesis)
Q	KOG0061	TransporterABCsuperfamily(Breastcancerresistanceprotein)
EJ	KOG0062	ATPasecomponentofABCtransporterswithduplicatedATPasedomains/TranslationelongationfactorEF-3b
A	KOG0063	RNAseLinhibitorABCsuperfamily
I	KOG0064	Peroxisomallong-chainacyl-CoAtransporterABCsuperfamily
Q	KOG0065	Pleiotropicdrugresistanceproteins(PDR1-15)ABCsuperfamily
J	KOG0066	eIF2-interactingproteinABC50(ABCsuperfamily)
K	KOG0067	TranscriptionfactorCtBP
E	KOG0068	D-3-phosphoglyceratedehydrogenaseD-isomer-specific2-hydroxyaciddehydrogenasesuperfamily
C	KOG0069	Glyoxylate/hydroxypyruvatereductase(D-isomer-specific2-hydroxyaciddehydrogenasesuperfamily)
U	KOG0070	GTP-bindingADP-ribosylationfactorArf1
U	KOG0071	GTP-bindingADP-ribosylationfactorArf6(dArf3)
U	KOG0072	GTP-bindingADP-ribosylationfactor-likeproteinARL1
UZ	KOG0073	GTP-bindingADP-ribosylationfactor-likeproteinARL2
R	KOG0074	GTP-bindingADP-ribosylationfactor-likeproteinARL3
R	KOG0075	GTP-bindingADP-ribosylationfactor-likeprotein
U	KOG0076	GTP-bindingADP-ribosylationfactor-likeproteinyARL3
U	KOG0077	VesiclecoatcomplexCOPIIGTPasesubunitSAR1
TU	KOG0078	GTP-bindingproteinSEC4smallGpandrelatedRasfamilyGTP-bindingproteins
R	KOG0079	GTP-bindingproteinH-raysmallGproteinsuperfamily
R	KOG0080	GTPaseRab18smallGproteinsuperfamily
U	KOG0081	GTPaseRab27smallGproteinsuperfamily
DT	KOG0082	G-proteinalphasubunit(smallGproteinsuperfamily)
R	KOG0083	GTPaseRab26/Rab37smallGproteinsuperfamily
TU	KOG0084	GTPaseRab1/YPT1smallGpandrelatedGTP-bindingproteins
T	KOG0085	GproteinsubunitGalphaq/GalphaysmallGproteinsuperfamily
U	KOG0086	GTPaseRab4smallGproteinsuperfamily
U	KOG0087	GTPaseRab11/YPT3smallGproteinsuperfamily
R	KOG0088	GTPaseRab21smallGproteinsuperfamily
H	KOG0089	Methylenetetrahydrofolatedehydrogenase/methylenetetrahydrofolatecyclohydrolase
U	KOG0090	Signalrecognitionparticlereceptorbetasubunit(smallGproteinsuperfamily)
R	KOG0091	GTPaseRab39smallGproteinsuperfamily
U	KOG0092	GTPaseRab5/YPT51andrelatedsmallGproteinsuperfamilyGTPases
U	KOG0093	GTPaseRab3smallGproteinsuperfamily
U	KOG0094	GTPaseRab6/YPT6/Ryh1smallGproteinsuperfamily
U	KOG0095	GTPaseRab30smallGproteinsuperfamily
U	KOG0096	GTPaseRan/TC4/GSP1(nuclearproteintransportpathsmallGproteinsuperfamily
U	KOG0097	GTPaseRab14smallGproteinsuperfamily
U	KOG0098	GTPaseRab2smallGproteinsuperfamily
T	KOG0099	GproteinsubunitGalphassmallGproteinsuperfamily
O	KOG0100	MolecularchaperonesGRP78/BiP/KAR2HSP70superfamily
O	KOG0101	MolecularchaperonesHSP70/HSC70HSP70superfamily
O	KOG0102	Molecularchaperonesmortalin/PBP74/GRP75HSP70superfamily
O	KOG0103	MolecularchaperonesHSP105/HSP110/SSE1HSP70superfamily
O	KOG0104	MolecularchaperonesGRP170/SIL1HSP70superfamily
A	KOG0105	AlternativesplicingfactorASF/SF2(RRMsuperfamily)
A	KOG0106	AlternativesplicingfactorSRp55/B52/SRp75(RRMsuperfamily)
A	KOG0107	AlternativesplicingfactorSRp20/9G8(RRMsuperfamily)
A	KOG0108	mRNAcleavageandpolyadenylationfactorIcomplexsubunitRNA15
AR	KOG0109	RNA-bindingproteinLARKcontainsRRMandretroviral-typeZn-fingerdomains
R	KOG0110	RNA-bindingprotein(RRMsuperfamily)
O	KOG0111	Cyclophilin-typepeptidyl-prolylcis-transisomerase
R	KOG0112	LargeRNA-bindingprotein(RRMsuperfamily)
A	KOG0113	U1smallnuclearribonucleoprotein(RRMsuperfamily)
R	KOG0114	PredictedRNA-bindingprotein(RRMsuperfamily)
A	KOG0115	RNA-bindingproteinp54nrb(RRMsuperfamily)
T	KOG0116	RasGAPSH3bindingproteinrasputincontainsNTF2andRRMdomains
A	KOG0117	HeterogeneousnuclearribonucleoproteinR(RRMsuperfamily)
R	KOG0118	FOG:RRMdomain
A	KOG0119	Splicingfactor1/branchpointbindingprotein(RRMsuperfamily)
A	KOG0120	SplicingfactorU2AFlargesubunit(RRMsuperfamily)
A	KOG0121	Nuclearcap-bindingproteincomplexsubunitCBP20(RRMsuperfamily)
J	KOG0122	Translationinitiationfactor3subunitg(eIF-3g)
AJ	KOG0123	Polyadenylate-bindingprotein(RRMsuperfamily)
A	KOG0124	Polypyrimidinetract-bindingproteinPUF60(RRMsuperfamily)
R	KOG0125	Ataxin2-bindingprotein(RRMsuperfamily)
R	KOG0126	PredictedRNA-bindingprotein(RRMsuperfamily)
A	KOG0127	NucleolarproteinfibrillarinNOP77(RRMsuperfamily)
A	KOG0128	RNA-bindingproteinSART3(RRMsuperfamily)
J	KOG0129	PredictedRNA-bindingprotein(RRMsuperfamily)
R	KOG0130	RNA-bindingproteinRBM8/Tsunagi(RRMsuperfamily)
A	KOG0131	Splicingfactor3bsubunit4
AK	KOG0132	RNApolymeraseIIC-terminaldomain-bindingproteincontainsRPRandRRMdomains
LT	KOG0133	Deoxyribodipyrimidinephotolyase/cryptochrome
CR	KOG0134	NADH:flavinoxidoreductase/12-oxophytodienoatereductase
IQ	KOG0135	Pristanoyl-CoA/acyl-CoAoxidase
I	KOG0136	Acyl-CoAoxidase
I	KOG0137	Very-long-chainacyl-CoAdehydrogenase
E	KOG0138	Glutaryl-CoAdehydrogenase
I	KOG0139	Short-chainacyl-CoAdehydrogenase
I	KOG0140	Medium-chainacyl-CoAdehydrogenase
EI	KOG0141	Isovaleryl-CoAdehydrogenase
Q	KOG0142	Isopentenylpyrophosphate:dimethylallylpyrophosphateisomerase
QR	KOG0143	Iron/ascorbatefamilyoxidoreductases
A	KOG0144	RNA-bindingproteinCUGBP1/BRUNO(RRMsuperfamily)
A	KOG0145	RNA-bindingproteinELAV/HU(RRMsuperfamily)
A	KOG0146	RNA-bindingproteinETR-3(RRMsuperfamily)
K	KOG0147	TranscriptionalcoactivatorCAPER(RRMsuperfamily)
AJ	KOG0148	Apoptosis-promotingRNA-bindingproteinTIA-1/TIAR(RRMsuperfamily)
R	KOG0149	PredictedRNA-bindingproteinSEB4(RRMsuperfamily)
A	KOG0150	SpliceosomalproteinFBP21
R	KOG0151	PredictedsplicingregulatorcontainsSWAPandRPRdomains
A	KOG0152	SpliceosomalproteinFBP11/SplicingfactorPRP40
R	KOG0153	PredictedRNA-bindingprotein(RRMsuperfamily)
R	KOG0154	RNA-bindingproteinRBM5andrelatedproteinscontainG-patchandRRMdomains
K	KOG0155	TranscriptionfactorCA150
Q	KOG0156	CytochromeP450CYP2subfamily
QI	KOG0157	CytochromeP450CYP4/CYP19/CYP26subfamilies
Q	KOG0158	CytochromeP450CYP3/CYP5/CYP6/CYP9subfamilies
Q	KOG0159	CytochromeP450CYP11/CYP12/CYP24/CYP27subfamilies
Z	KOG0160	MyosinclassVheavychain
Z	KOG0161	MyosinclassIIheavychain
Z	KOG0162	MyosinclassIheavychain
Z	KOG0163	MyosinclassVIheavychain
Z	KOG0164	MyosinclassIheavychain
Z	KOG0165	Microtubule-associatedproteinAsp
U	KOG0166	Karyopherin(importin)alpha
S	KOG0167	FOG:Armadillo/beta-catenin-likerepeats
O	KOG0168	Putativeubiquitinfusiondegradationprotein
T	KOG0169	Phosphoinositide-specificphospholipaseC
O	KOG0170	E3ubiquitinproteinligase
O	KOG0171	MitochondrialinnermembraneproteasesubunitIMP1
E	KOG0172	Lysine-ketoglutaratereductase/saccharopinedehydrogenase
O	KOG0173	20SproteasomeregulatorysubunitbetatypePSMB7/PSMB10/PUP1
O	KOG0174	20SproteasomeregulatorysubunitbetatypePSMB6/PSMB9/PRE3
O	KOG0175	20SproteasomeregulatorysubunitbetatypePSMB5/PSMB8/PRE2
O	KOG0176	20SproteasomeregulatorysubunitalphatypePSMA5/PUP2
O	KOG0177	20SproteasomeregulatorysubunitbetatypePSMB2/PRE1
O	KOG0178	20SproteasomeregulatorysubunitalphatypePSMA4/PRE9
O	KOG0179	20SproteasomeregulatorysubunitbetatypePSMB1/PRE7
O	KOG0180	20SproteasomeregulatorysubunitbetatypePSMB3/PUP3
O	KOG0181	20SproteasomeregulatorysubunitalphatypePSMA2/PRE8
O	KOG0182	20SproteasomeregulatorysubunitalphatypePSMA6/SCL1
O	KOG0183	20SproteasomeregulatorysubunitalphatypePSMA7/PRE6
O	KOG0184	20SproteasomeregulatorysubunitalphatypePSMA3/PRE10
O	KOG0185	20SproteasomeregulatorysubunitbetatypePSMB4/PRE4
E	KOG0186	Prolineoxidase
J	KOG0187	40SribosomalproteinS17
J	KOG0188	Alanyl-tRNAsynthetase
E	KOG0189	Phosphoadenosinephosphosulfatereductase
O	KOG0190	Proteindisulfideisomerase(prolyl4-hydroxylasebetasubunit)
O	KOG0191	Thioredoxin/proteindisulfideisomerase
T	KOG0192	Tyrosinekinasespecificforactivated(GTP-bound)p21cdc42Hs
T	KOG0193	Serine/threonineproteinkinaseRAF
T	KOG0194	Proteintyrosinekinase
T	KOG0195	Integrin-linkedkinase
T	KOG0196	TyrosinekinaseEPH(ephrin)receptorfamily
T	KOG0197	Tyrosinekinases
T	KOG0198	MEKKandrelatedserine/threonineproteinkinases
T	KOG0199	ACKandrelatednon-receptortyrosinekinases
T	KOG0200	Fibroblast/platelet-derivedgrowthfactorreceptorandrelatedreceptortyrosinekinases
T	KOG0201	Serine/threonineproteinkinase
P	KOG0202	Ca2+transportingATPase
P	KOG0203	Na+/K+ATPasealphasubunit
P	KOG0204	CalciumtransportingATPase
P	KOG0205	PlasmamembraneH+-transportingATPase
R	KOG0206	P-typeATPase
P	KOG0207	CationtransportATPase
P	KOG0208	CationtransportATPase
P	KOG0209	P-typeATPase
P	KOG0210	P-typeATPase
T	KOG0211	Proteinphosphatase2AregulatorysubunitAandrelatedproteins
S	KOG0212	Uncharacterizedconservedprotein
A	KOG0213	Splicingfactor3bsubunit1
K	KOG0214	RNApolymeraseIIsecondlargestsubunit
K	KOG0215	RNApolymeraseIIIsecondlargestsubunit
K	KOG0216	RNApolymeraseIsecondlargestsubunit
L	KOG0217	MismatchrepairATPaseMSH6(MutSfamily)
L	KOG0218	MismatchrepairMSH3
L	KOG0219	MismatchrepairATPaseMSH2(MutSfamily)
L	KOG0220	MismatchrepairATPaseMSH4(MutSfamily)
L	KOG0221	MismatchrepairATPaseMSH5(MutSfamily)
Q	KOG0222	Phenylalanineandhistidineammonia-lyase
G	KOG0223	Aquaporin(majorintrinsicproteinfamily)
G	KOG0224	Aquaporin(majorintrinsicproteinfamily)
C	KOG0225	PyruvatedehydrogenaseE1alphasubunit
R	KOG0226	RNA-bindingproteins
A	KOG0227	Splicingfactor3asubunit2
G	KOG0228	Beta-fructofuranosidase(invertase)
T	KOG0229	Phosphatidylinositol-4-phosphate5-kinase
T	KOG0230	Phosphatidylinositol-4-phosphate5-kinaseandrelatedFYVEfinger-containingproteins
R	KOG0231	JunctionalmembranecomplexproteinJunctophilinandrelatedMORNrepeatproteins
C	KOG0232	VacuolarH+-ATPaseV0sectorsubunitsc/c'
C	KOG0233	VacuolarH+-ATPaseV0sectorsubunitc''
G	KOG0234	Fructose-6-phosphate2-kinase/fructose-26-biphosphatase
G	KOG0235	Phosphoglyceratemutase
P	KOG0236	Sulfate/bicarbonate/oxalateexchangerSAT-1andrelatedtransporters(SLC26family)
F	KOG0237	Glycinamideribonucleotidesynthetase(GARS)/Aminoimidazoleribonucleotidesynthetase(AIRS)
IE	KOG0238	3-Methylcrotonyl-CoAcarboxylasebiotin-coalphachabiotincarboxylasesubunit
Z	KOG0239	Kinesin(KAR3subfamily)
Z	KOG0240	Kinesin(SMY1subfamily)
Z	KOG0241	Kinesin-likeprotein
Z	KOG0242	Kinesin-likeprotein
Z	KOG0243	Kinesin-likeprotein
Z	KOG0244	Kinesin-likeprotein
Z	KOG0245	Kinesin-likeprotein
Z	KOG0246	Kinesin-likeprotein
Z	KOG0247	Kinesin-likeprotein
Z	KOG0248	CytoplasmicproteinMax-1containsMyTH4andFERMdomains
R	KOG0249	LAR-interactingproteinandrelatedproteins
L	KOG0250	DNArepairproteinRAD18(SMCfamilyprotein)
TU	KOG0251	ClathrinassemblyproteinAP180andrelatedproteincontainENTHdomain
P	KOG0252	Inorganicphosphatetransporter
R	KOG0253	SynapticvesicletransporterSV2(majorfacilitatorsuperfamily)
R	KOG0254	Predictedtransporter(majorfacilitatorsuperfamily)
R	KOG0255	SynapticvesicletransporterSVOPandrelatedtransporters(majorfacilitatorsuperfamily)
T	KOG0256	1-aminocyclopropane-1-carboxylatesynthaseandrelatedproteins
E	KOG0257	KynurenineaminotransferaseglutaminetransaminaseK
E	KOG0258	Alanineaminotransferase
E	KOG0259	Tyrosineaminotransferase
K	KOG0260	RNApolymeraseIIlargesubunit
K	KOG0261	RNApolymeraseIIIlargesubunit
K	KOG0262	RNApolymeraseIlargesubunit
K	KOG0263	TranscriptioninitiationfactorTFIIDsubunitTAF5(alsocomponentofhistoneacetyltransferaseSAGA)
B	KOG0264	NucleosomeremodelingfactorsubunitCAF1/NURF55/MSI1
A	KOG0265	U5snRNP-specificprotein-likefactorandrelatedproteins
R	KOG0266	WD40repeat-containingprotein
D	KOG0267	Microtubuleseveringproteinkataninp80subunitB(containsWD40repeats)
A	KOG0268	Sof1-likerRNAprocessingprotein(containsWD40repeats)
S	KOG0269	WD40repeat-containingprotein
S	KOG0270	WD40repeat-containingprotein
S	KOG0271	Notchless-likeWD40repeat-containingprotein
A	KOG0272	U4/U6smallnuclearribonucleoproteinPrp4(containsWD40repeats)
B	KOG0273	Beta-transducinfamily(WD-40repeat)protein
R	KOG0274	Cdc4andrelatedF-boxandWD-40proteins
R	KOG0275	ConservedWD40repeat-containingprotein
U	KOG0276	VesiclecoatcomplexCOPIbeta'subunit
U	KOG0277	Peroxisomaltargetingsignaltype2receptor
I	KOG0278	Serine/threoninekinasereceptor-associatedprotein
T	KOG0279	Gproteinbetasubunit-likeprotein
E	KOG0280	Uncharacterizedconservedprotein
S	KOG0281	Beta-TrCP(transducinrepeatscontaining)/Slimbproteins
S	KOG0282	mRNAsplicingfactor
S	KOG0283	WD40repeat-containingprotein
A	KOG0284	PolyadenylationfactorIcomplexsubunitPFS2
A	KOG0285	Pleiotropicregulator1
R	KOG0286	G-proteinbetasubunit
L	KOG0287	PostreplicationrepairproteinRAD18
R	KOG0288	WD40repeatproteinTipD
R	KOG0289	mRNAsplicingfactor
S	KOG0290	ConservedWD40repeat-containingproteinAN11
A	KOG0291	WD40-repeat-containingsubunitofthe18SrRNAprocessingcomplex
U	KOG0292	VesiclecoatcomplexCOPIalphasubunit
S	KOG0293	WD40repeat-containingprotein
S	KOG0294	WD40repeat-containingprotein
S	KOG0295	WD40repeat-containingprotein
S	KOG0296	Angio-associatedmigratorycellprotein(containsWD40repeats)
T	KOG0297	TNFreceptor-associatedfactor
L	KOG0298	DEADbox-containinghelicase-liketranscriptionfactor/DNArepairprotein
A	KOG0299	U3snoRNP-associatedprotein(containsWD40repeats)
S	KOG0300	WD40repeat-containingprotein
I	KOG0301	PhospholipaseA2-activatingprotein(containsWD40repeats)
R	KOG0302	RibosomeAssemblyprotein
Z	KOG0303	Actin-bindingproteinCoronincontainsWD40repeats
A	KOG0304	mRNAdeadenylasesubunit
DO	KOG0305	AnaphasepromotingcomplexCdc20Cdh1andAma1subunits
A	KOG0306	WD40-repeat-containingsubunitofthe18SrRNAprocessingcomplex
U	KOG0307	VesiclecoatcomplexCOPIIsubunitSEC31
S	KOG0308	ConservedWD40repeat-containingprotein
S	KOG0309	ConservedWD40repeat-containingprotein
S	KOG0310	ConservedWD40repeat-containingprotein
O	KOG0311	PredictedE3ubiquitinligase
S	KOG0312	Uncharacterizedconservedprotein
Z	KOG0313	MicrotubulebindingproteinYTM1(containsWD40repeats)
O	KOG0314	PredictedE3ubiquitinligase
R	KOG0315	G-proteinbetasubunit-likeprotein(containsWD40repeats)
S	KOG0316	ConservedWD40repeat-containingprotein
O	KOG0317	PredictedE3ubiquitinligaseintegralperoxisomalmembraneprotein
Z	KOG0318	WD40repeatstressprotein/actininteractingprotein
A	KOG0319	WD40-repeat-containingsubunitofthe18SrRNAprocessingcomplex
O	KOG0320	PredictedE3ubiquitinligase
S	KOG0321	WD40repeat-containingproteinL2DTL
R	KOG0322	G-proteinbetasubunit-likeproteinGNB1LcontainsWDrepeats
K	KOG0323	TFIIF-interactingCTDphosphatasesincludingNLI-interactingfactor
S	KOG0324	Uncharacterizedconservedprotein
CH	KOG0325	Lipoyltransferase
A	KOG0326	ATP-dependentRNAhelicase
J	KOG0327	Translationinitiationfactor4Fhelicasesubunit(eIF-4A)andrelatedhelicases
J	KOG0328	PredictedATP-dependentRNAhelicaseFAL1involvedDEAD-boxsuperfamily
A	KOG0329	ATP-dependentRNAhelicase
A	KOG0330	ATP-dependentRNAhelicase
A	KOG0331	ATP-dependentRNAhelicase
A	KOG0332	ATP-dependentRNAhelicase
A	KOG0333	U5snRNP-likeRNAhelicasesubunit
A	KOG0334	RNAhelicase
A	KOG0335	ATP-dependentRNAhelicase
A	KOG0336	ATP-dependentRNAhelicase
A	KOG0337	ATP-dependentRNAhelicase
A	KOG0338	ATP-dependentRNAhelicase
A	KOG0339	ATP-dependentRNAhelicase
A	KOG0340	ATP-dependentRNAhelicase
A	KOG0341	DEAD-boxproteinabstrakt
A	KOG0342	ATP-dependentRNAhelicasepitchoune
A	KOG0343	RNAHelicase
A	KOG0344	ATP-dependentRNAhelicase
A	KOG0345	ATP-dependentRNAhelicase
A	KOG0346	RNAhelicase
A	KOG0347	RNAhelicase
A	KOG0348	ATP-dependentRNAhelicase
A	KOG0349	PutativeDEAD-boxRNAhelicaseDDX1
A	KOG0350	DEAD-boxATP-dependentRNAhelicase
L	KOG0351	ATP-dependentDNAhelicase
L	KOG0352	ATP-dependentDNAhelicase
R	KOG0353	ATP-dependentDNAhelicase
R	KOG0354	DEAD-boxlikehelicase
B	KOG0355	DNAtopoisomerasetypeII
O	KOG0356	MitochondrialchaperoninCpn60/Hsp60p
O	KOG0357	ChaperonincomplexcomponentTCP-1epsilonsubunit(CCT5)
O	KOG0358	ChaperonincomplexcomponentTCP-1deltasubunit(CCT4)
O	KOG0359	ChaperonincomplexcomponentTCP-1zetasubunit(CCT6)
O	KOG0360	ChaperonincomplexcomponentTCP-1alphasubunit(CCT1)
O	KOG0361	ChaperonincomplexcomponentTCP-1etasubunit(CCT7)
O	KOG0362	ChaperonincomplexcomponentTCP-1thetasubunit(CCT8)
O	KOG0363	ChaperonincomplexcomponentTCP-1betasubunit(CCT2)
O	KOG0364	ChaperonincomplexcomponentTCP-1gammasubunit(CCT3)
O	KOG0365	Betasubunitoffarnesyltransferase
O	KOG0366	ProteingeranylgeranyltransferasetypeIIbetasubunit
O	KOG0367	ProteingeranylgeranyltransferaseTypeIbetasubunit
I	KOG0368	Acetyl-CoAcarboxylase
C	KOG0369	Pyruvatecarboxylase
R	KOG0370	MultifunctionalpyrimidinesynthesisproteinCAD(iaspartateandglutamineamidotransferase)
T	KOG0371	Serine/threonineproteinphosphatase2Acatalyticsubunit
GT	KOG0372	Serine/threoninespecificproteinphosphataseinvolPP2A-related
DT	KOG0373	Serine/threoninespecificproteinphosphataseinvolPP2A-related
TR	KOG0374	Serine/threoninespecificproteinphosphatasePP1catalyticsubunit
R	KOG0375	Serine-threoninephosphatase2Bcatalyticsubunit
R	KOG0376	Serine-threoninephosphatase2Acatalyticsubunit
T	KOG0377	Proteinserine/threoninephosphataseRDGC/PPEFcontainsSTphosphataseandEF-handdomains
J	KOG0378	40SribosomalproteinS4
R	KOG0379	Kelchrepeat-containingproteins
I	KOG0380	SterolO-acyltransferase/DiacylglycerolO-acyltransferase
R	KOG0381	HMGbox-containingprotein
R	KOG0382	Carbonicanhydrase
R	KOG0383	Predictedhelicase
K	KOG0384	Chromodomain-helicaseDNA-bindingprotein
K	KOG0385	ChromatinremodelingcomplexWSTF-ISWIsmallsubunit
BK	KOG0386	ChromatinremodelingcomplexSWI/SNFcomponentSWI2andrelatedATPases(DNA/RNAhelicasesuperfamily)
KL	KOG0387	Transcription-coupledrepairproteinCSB/RAD26(containsSNF2familyDNA-dependentATPasedomain)
L	KOG0388	SNF2familyDNA-dependentATPase
B	KOG0389	SNF2familyDNA-dependentATPase
L	KOG0390	DNArepairproteinSNF2family
R	KOG0391	SNF2familyDNA-dependentATPase
K	KOG0392	SNF2familyDNA-dependentATPasedomain-containingprotein
R	KOG0393	Ras-relatedsmallGTPaseRhotype
R	KOG0394	Ras-relatedGTPase
R	KOG0395	Ras-relatedGTPase
S	KOG0396	Uncharacterizedconservedprotein
J	KOG0397	60SribosomalproteinL11
J	KOG0398	Mitochondrial/chloroplastribosomalproteinL5/L7
E	KOG0399	Glutamatesynthase
J	KOG0400	40SribosomalproteinS13
J	KOG0401	Translationinitiationfactor4Fribosome/mRNA-bridgingsubunit(eIF-4G)
J	KOG0402	60SribosomalproteinL37
T	KOG0403	NeoplastictransformationsuppressorPdcd4/MA-3containsMA3domain
O	KOG0404	Thioredoxinreductase
Q	KOG0405	Pyridinenucleotide-disulphideoxidoreductase
O	KOG0406	GlutathioneS-transferase
J	KOG0407	40SribosomalproteinS14
J	KOG0408	Mitochondrial/chloroplastribosomalproteinS11
R	KOG0409	Predicteddehydrogenase
R	KOG0410	PredictedGTPbindingprotein
S	KOG0411	Uncharacterizedmembraneprotein
U	KOG0412	GolgitransportcomplexCOD1protein
S	KOG0413	Uncharacterizedconservedproteinrelatedtocondensincomplexsubunit1
BD	KOG0414	ChromosomecondensationcomplexCondensinsubunitD2
O	KOG0415	Predictedpeptidylprolylcis-transisomerase
O	KOG0416	Ubiquitin-proteinligase
O	KOG0417	Ubiquitin-proteinligase
O	KOG0418	Ubiquitin-proteinligase
O	KOG0419	Ubiquitin-proteinligase
O	KOG0420	Ubiquitin-proteinligase
O	KOG0421	Ubiquitin-proteinligase
O	KOG0422	Ubiquitin-proteinligase
O	KOG0423	Ubiquitin-proteinligase
O	KOG0424	Ubiquitin-proteinligase
O	KOG0425	Ubiquitin-proteinligase
O	KOG0426	Ubiquitin-proteinligase
O	KOG0427	Ubiquitinconjugatingenzyme
O	KOG0428	Non-canonicalubiquitinconjugatingenzyme1
O	KOG0429	Ubiquitin-conjugatingenzyme-relatedproteinFt1involvedinprogrammedcelldeath
F	KOG0430	Xanthinedehydrogenase
R	KOG0431	Auxilin-likeproteinandrelatedproteinscontainingDnaJdomain
J	KOG0432	Valyl-tRNAsynthetase
J	KOG0433	Isoleucyl-tRNAsynthetase
J	KOG0434	Isoleucyl-tRNAsynthetase
J	KOG0435	Leucyl-tRNAsynthetase
J	KOG0436	Methionyl-tRNAsynthetase
J	KOG0437	Leucyl-tRNAsynthetase
J	KOG0438	Mitochondrial/chloroplastribosomalproteinL2
U	KOG0439	VAMP-associatedproteininvolvedininositolmetabolism
D	KOG0440	Cellcycle-associatedproteinMob1-1
P	KOG0441	Cu2+/Zn2+superoxidedismutaseSOD1
L	KOG0442	Structure-specificendonucleaseERCC1-XPFcatalyticcomponentXPF/ERCC4
Z	KOG0443	Actinregulatoryproteins(gelsolin/villinfamily)
Z	KOG0444	CytoskeletalregulatorFlightless-I(containsleucine-richandgelsolinrepeats)
Z	KOG0445	Actinregulatoryproteinsupervillin(gelsolin/villinfamily)
UR	KOG0446	VacuolarsortingproteinVPS1dynaminandrelatedproteins
